name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Location Search / request_223	1005	1005	0	320	320	-1	9630	9630	-1	1548	1548	-1	1552	1552	-1	5040	5040	-1	6550	6550	-1	t < 800 ms	491	48	800 ms < t < 1200 ms	100	9	t > 1200 ms	414	41	failed	0	0	0	0	-1
Location Search / request_224	1005	1005	0	330	330	-1	7970	7970	-1	1386	1386	-1	1351	1351	-1	4340	4340	-1	5920	5920	-1	t < 800 ms	511	50	800 ms < t < 1200 ms	117	11	t > 1200 ms	377	37	failed	0	0	0	0	-1
Location Search / request_225	1005	1005	0	310	310	-1	8690	8690	-1	1366	1366	-1	1381	1381	-1	4280	4280	-1	6160	6160	-1	t < 800 ms	534	53	800 ms < t < 1200 ms	110	10	t > 1200 ms	361	35	failed	0	0	0	0	-1
Location Search / request_226	1005	1005	0	310	310	-1	13690	13690	-1	1623	1623	-1	1781	1781	-1	5230	5230	-1	8630	8630	-1	t < 800 ms	467	46	800 ms < t < 1200 ms	99	9	t > 1200 ms	439	43	failed	0	0	0	0	-1
Location Search / request_227	1005	1005	0	310	310	-1	16980	16980	-1	1669	1669	-1	2000	2000	-1	5090	5090	-1	10900	10900	-1	t < 800 ms	481	47	800 ms < t < 1200 ms	96	9	t > 1200 ms	428	42	failed	0	0	0	0	-1
Location Search / request_228	1005	1005	0	310	310	-1	17710	17710	-1	1579	1579	-1	1820	1820	-1	4900	4900	-1	9320	9320	-1	t < 800 ms	506	50	800 ms < t < 1200 ms	83	8	t > 1200 ms	416	41	failed	0	0	0	0	-1
Location Search / request_229	1005	1005	0	310	310	-1	19410	19410	-1	1616	1616	-1	1911	1911	-1	5000	5000	-1	9580	9580	-1	t < 800 ms	496	49	800 ms < t < 1200 ms	89	8	t > 1200 ms	420	41	failed	0	0	0	0	-1
Location Search / request_230	1005	1005	0	310	310	-1	13320	13320	-1	1644	1644	-1	1938	1938	-1	5080	5080	-1	10580	10580	-1	t < 800 ms	496	49	800 ms < t < 1200 ms	87	8	t > 1200 ms	422	41	failed	0	0	0	0	-1
Location Search / request_231	1005	1005	0	310	310	-1	13020	13020	-1	1449	1449	-1	1484	1484	-1	4180	4180	-1	7440	7440	-1	t < 800 ms	499	49	800 ms < t < 1200 ms	99	9	t > 1200 ms	407	40	failed	0	0	0	0	-1
Location Search / request_232	1005	1005	0	310	310	-1	16570	16570	-1	1621	1621	-1	1909	1909	-1	4780	4780	-1	9820	9820	-1	t < 800 ms	480	47	800 ms < t < 1200 ms	104	10	t > 1200 ms	421	41	failed	0	0	0	0	-1
Location Search / request_233	1005	1005	0	310	310	-1	15190	15190	-1	1584	1584	-1	1828	1828	-1	4660	4660	-1	9630	9630	-1	t < 800 ms	463	46	800 ms < t < 1200 ms	125	12	t > 1200 ms	417	41	failed	0	0	0	0	-1
Location Search / request_234	1005	929	76	1180	1180	60000	61340	59810	61340	25361	22525	60033	0	0	0	60000	52540	60010	60000	58200	61160	t < 800 ms	0	0	800 ms < t < 1200 ms	1	0	t > 1200 ms	928	92	failed	76	7	0	0	0
Location Search / request_235	1005	1005	0	310	310	-1	16340	16340	-1	1509	1509	-1	1656	1656	-1	4340	4340	-1	7580	7580	-1	t < 800 ms	477	47	800 ms < t < 1200 ms	94	9	t > 1200 ms	434	43	failed	0	0	0	0	-1
Location Search / request_236	1005	1005	0	310	310	-1	17340	17340	-1	1646	1646	-1	1868	1868	-1	5180	5180	-1	9500	9500	-1	t < 800 ms	487	48	800 ms < t < 1200 ms	77	7	t > 1200 ms	441	43	failed	0	0	0	0	-1
Location Search / request_237	1005	1002	3	310	310	11110	17920	14700	17920	1603	1567	13580	1835	1708	3079	5040	4920	17920	7890	7600	17920	t < 800 ms	489	48	800 ms < t < 1200 ms	97	9	t > 1200 ms	416	41	failed	3	0	0	0	0
Location Search / request_238	1005	1003	2	310	310	10940	14350	14350	13410	1587	1566	12175	1849	1788	1235	5030	4990	13410	10290	9630	13410	t < 800 ms	478	47	800 ms < t < 1200 ms	99	9	t > 1200 ms	426	42	failed	2	0	0	0	0
Location Search / request_239	1005	1004	1	350	350	13340	13340	12930	13340	1985	1974	13340	1958	1926	0	5620	5570	13340	10050	9860	13340	t < 800 ms	338	33	800 ms < t < 1200 ms	124	12	t > 1200 ms	542	53	failed	1	0	0	0	0
Location Search / request_240	1005	1005	0	310	310	-1	12400	12400	-1	1445	1445	-1	1385	1385	-1	4300	4300	-1	6200	6200	-1	t < 800 ms	478	47	800 ms < t < 1200 ms	111	11	t > 1200 ms	416	41	failed	0	0	0	0	-1
Location Search / request_241	1005	1004	1	340	340	750	24390	24390	750	1994	1996	750	2278	2278	0	5610	5610	750	11400	11400	750	t < 800 ms	350	34	800 ms < t < 1200 ms	122	12	t > 1200 ms	532	52	failed	1	0	0	0	0
Location Search / request_242	1005	969	36	430	430	13390	60000	59760	60000	10362	8566	58705	567	7952	0	47680	35260	60000	60000	52990	60000	t < 800 ms	2	0	800 ms < t < 1200 ms	175	17	t > 1200 ms	792	78	failed	36	3	0	0	0
Location Search / request_243	1005	999	6	710	710	2960	61280	56510	61280	5135	4861	50708	3428	4247	0	19290	17800	61280	48310	42530	61280	t < 800 ms	1	0	800 ms < t < 1200 ms	179	17	t > 1200 ms	819	81	failed	6	0	0	0	0
Location Search / request_244	1005	1005	0	310	310	-1	10850	10850	-1	1917	1917	-1	1638	1638	-1	5410	5410	-1	6650	6650	-1	t < 800 ms	343	34	800 ms < t < 1200 ms	115	11	t > 1200 ms	547	54	failed	0	0	0	0	-1
Location Search / request_245	1005	1004	1	310	310	13540	15460	15460	13540	1876	1865	13540	1862	1825	0	5590	5490	13540	8450	8330	13540	t < 800 ms	375	37	800 ms < t < 1200 ms	105	10	t > 1200 ms	524	52	failed	1	0	0	0	0
